,일자,지역,사망자,확진자,전일대비,격리해제,격리중,지역발생,해외유입,10만명당
375,2020-03-24,충북,0,38,1,0,0,0,0,2.38
376,2020-03-24,강원,1,30,0,0,0,0,0,1.95
377,2020-03-24,경기,4,366,15,0,0,0,0,2.76
378,2020-03-24,세종,0,42,0,0,0,0,0,12.27
379,2020-03-24,울산,0,36,0,0,0,0,0,3.14
380,2020-03-24,대전,0,24,0,0,0,0,0,1.63
381,2020-03-24,광주,0,19,0,0,0,0,0,1.3
382,2020-03-24,인천,0,41,1,0,0,0,0,1.39
383,2020-03-24,대구,88,6442,31,0,0,0,0,264.4
384,2020-03-24,부산,1,111,2,0,0,0,0,3.25
385,2020-03-24,서울,0,334,4,0,0,0,0,3.43
386,2020-03-24,합계,120,9037,76,0,0,0,0,17.43
387,2020-03-25,검역,0,101,34,0,0,0,0,0.0
388,2020-03-25,제주,0,6,2,0,0,0,0,0.6
389,2020-03-25,경남,0,90,0,0,0,0,0,2.68
390,2020-03-25,경북,28,1262,5,0,0,0,0,47.21
391,2020-03-25,전남,0,8,2,0,0,0,0,0.32
392,2020-03-25,전북,0,10,0,0,0,0,0,0.55
393,2020-03-25,충남,0,123,3,0,0,0,0,5.65
394,2020-03-25,충북,0,38,0,0,0,0,0,2.38
395,2020-03-25,강원,1,31,1,0,0,0,0,1.95
396,2020-03-25,경기,4,387,21,0,0,0,0,2.76
397,2020-03-25,세종,0,44,2,0,0,0,0,12.27
398,2020-03-25,울산,0,37,1,0,0,0,0,3.14
399,2020-03-25,대전,0,24,0,0,0,0,0,1.63
400,2020-03-25,광주,0,19,0,0,0,0,0,1.3
401,2020-03-25,인천,0,42,1,0,0,0,0,1.39
402,2020-03-25,대구,92,6456,14,0,0,0,0,264.4
403,2020-03-25,부산,1,112,1,0,0,0,0,3.25
404,2020-03-25,서울,0,347,13,0,0,0,0,3.43
405,2020-03-25,합계,126,9137,100,0,0,0,0,17.62
406,2020-03-26,검역,0,131,30,0,0,0,0,0.0
407,2020-03-26,제주,0,6,0,0,0,0,0,0.89
408,2020-03-26,경남,0,90,0,0,0,0,0,2.68
409,2020-03-26,경북,30,1274,12,0,0,0,0,47.85
410,2020-03-26,전남,0,8,0,0,0,0,0,0.43
411,2020-03-26,전북,0,10,0,0,0,0,0,0.55
412,2020-03-26,충남,0,124,1,0,0,0,0,5.84
413,2020-03-26,충북,0,39,1,0,0,0,0,2.44
414,2020-03-26,강원,1,31,0,0,0,0,0,2.01
415,2020-03-26,경기,4,401,14,0,0,0,0,3.03
416,2020-03-26,세종,0,44,0,0,0,0,0,12.85
417,2020-03-26,울산,0,37,0,0,0,0,0,3.23
418,2020-03-26,대전,0,30,6,0,0,0,0,2.04
419,2020-03-26,광주,0,19,0,0,0,0,0,1.3
420,2020-03-26,인천,0,43,1,0,0,0,0,1.45
421,2020-03-26,대구,94,6482,26,0,0,0,0,266.04
422,2020-03-26,부산,2,112,0,0,0,0,0,3.28
423,2020-03-26,서울,0,360,13,0,0,0,0,3.7
424,2020-03-26,합계,131,9241,104,0,0,0,0,17.82
425,2020-03-27,검역,0,144,13,0,0,0,0,0.0
426,2020-03-27,제주,0,7,1,0,0,0,0,1.04
427,2020-03-27,경남,0,91,1,0,0,0,0,2.71
428,2020-03-27,경북,34,1283,9,0,0,0,0,48.19
429,2020-03-27,전남,0,8,0,0,0,0,0,0.43
430,2020-03-27,전북,0,10,0,0,0,0,0,0.55
431,2020-03-27,충남,0,124,0,0,0,0,0,5.84
432,2020-03-27,충북,0,41,2,0,0,0,0,2.56
433,2020-03-27,강원,1,31,0,0,0,0,0,2.01
434,2020-03-27,경기,4,412,11,0,0,0,0,3.11
435,2020-03-27,세종,0,44,0,0,0,0,0,12.85
436,2020-03-27,울산,0,39,2,0,0,0,0,3.4
437,2020-03-27,대전,0,31,1,0,0,0,0,2.1
438,2020-03-27,광주,0,20,1,0,0,0,0,1.37
439,2020-03-27,인천,0,46,3,0,0,0,0,1.56
440,2020-03-27,대구,98,6516,34,0,0,0,0,267.43
441,2020-03-27,부산,2,113,1,0,0,0,0,3.31
442,2020-03-27,서울,0,372,12,0,0,0,0,3.82
443,2020-03-27,합계,139,9332,91,0,0,0,0,18.0
444,2020-03-28,검역,0,168,24,0,0,0,0,0.0
445,2020-03-28,제주,0,8,1,0,0,0,0,1.19
446,2020-03-28,경남,0,91,0,0,0,0,0,2.71
447,2020-03-28,경북,35,1285,2,0,0,0,0,48.26
448,2020-03-28,전남,0,8,0,0,0,0,0,0.43
449,2020-03-28,전북,0,10,0,0,0,0,0,0.55
450,2020-03-28,충남,0,126,2,0,0,0,0,5.94
451,2020-03-28,충북,0,41,0,0,0,0,0,2.56
452,2020-03-28,강원,1,32,1,0,0,0,0,2.08
453,2020-03-28,경기,5,433,21,0,0,0,0,3.27
454,2020-03-28,세종,0,44,0,0,0,0,0,12.85
